Name;Удельный вес численности студентов (приведенного контингента), обучающихся по программам магистратуры, в общей численности приведенного контингента обучающихся по образовательным программам бакалавриата, специалитета и магистратуры;Количество цитирований публикаций, изданных за последние 5 лет, индексируемых в информационно-аналитической системе научного цитирования Web of Science в расчете на 100 НПР;Количество полученных грантов за отчетный год в расчете на 100 НПР;Удельный вес численности иностранных студентов из СНГ, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент);Удельный вес стоимости машин и оборудования (не старше 5 лет) в общей стоимости машин и оборудования
"федеральное государственное автономное образовательное учреждение высшего образования Российский университет дружбы народов";"17,27";"86,16";"4,37";"10,38";"34,42"
"федеральное государственное бюджетное образовательное учреждение высшего образования Сибирский государственный аэрокосмический университет имени академика М.Ф. Решетнева";"14,33";"89,23";"2,98";"3,89";"32,26"
"Федеральное государственное автономное образовательное учреждение высшего образования Тюменский государственный университет";"13,77";"78,88";"3,19";"4,86";"28,05"
"Федеральное государственное бюджетное образовательное учреждение высшего образования Национальный исследовательский Мордовский государственный университет им. Н.П.Огарева";"9,96";"89,12";"2,78";"4,45";"33,26"
"Московский педагогический государственный университет";"18,42";"72,57";"1,62";"2,66";"21,65"
"Федеральное государственное бюджетное образовательное учреждение высшего образования Воронежский государственный лесотехнический университет имени Г.Ф. Морозова";"8,87";"74,55";"4,41";"15,93";"29,08"
"федеральное государственное бюджетное образовательное учреждение высшего образования Ульяновский государственный университет";"5,65";"109,66";"4,08";"2,98";"37,64"
"государственное бюджетное образовательное учреждение высшего образования Алтайский государственный медицинский университет Министерства здравоохранения Российской Федерации";"0";"72,27";"3";"12,03";"35,47"
"Федеральное государственное бюджетное образовательное учреждение высшего образования Томский государственный университет систем управления и радиоэлектроники";"12,01";"72,97";"5,73";"22,08";"12,2"
"федеральное государственное бюджетное образовательное учреждение высшего образования Национальный исследовательский университет МЭИ";"19,56";"114,37";"12,89";"5,32";"33,76"
"Государственное бюджетное образовательное учреждение высшего образования Нижегородская государственная медицинская академия Министерства здравоохранения Российской Федерации (ГБОУ ВПО НижГМА Минздрав)";"0";"114,22";"4,13";"1,15";"48,76"
"федеральное государственное образовательное учреждение высшего образования Приморская государственная сельскохозяйственная академия";"1,08";"111,71";"0,89";"6,54";"22,75"
"Федеральное государственное бюджетное образовательное учреждение высшего образования Ростовский государственный медицинский университет Министерства здравоохранения Российской Федерации";"0";"63,47";"2,6";"1,82";"33,36"
"федеральное государственное бюджетное образовательное учреждение высшего образования Саратовский государственный технический университет имени Гагарина Ю.А.";"14,11";"109,96";"7,43";"2,75";"52,78"
